entry_used,question,t_question,correct_answer,type,entry_index
"If you’d prefer to write to us, please send your 
letter to Customer Relations Manager, Churchill 
Court, Westmoreland Road, Bromley BR1 1DP.
If you have Green Flag breakdown cover and 
your complaint is about your breakdown cover, 
please let us know when you get in touch. 
Our staff will do everything they can to support 
you. We’ll aim to resolve most issues within 
three working days of receiving your complaint.
If your complaint can’t be resolved within three 
working days, we’ll contact you to let you know 
who’ll be dealing with it, and what the next steps 
are.
We’ll keep you updated regularly. You’ll also 
receive the following written communication 
from us, depending on how long it takes us to 
resolve your complaint.
Communication type
When will you get this?
What will it tell you?
Summary 
Resolution 
Communication
If we’ve been able to resolve your 
complaint to your satisfaction within 
3 working days of receiving your 
complaint.
It will let you know your complaint has 
been resolved and tell you about the 
Financial Ombudsman Service (FOS).
Acknowledgement
If we’ve been unable to resolve your 
complaint to your satisfaction within 
3 working days of receiving your 
complaint.
It will let you know our complaint 
handling process and information 
about the Financial Ombudsman 
Service.
Unable to reach 
resolution within 
8 weeks.
If we’ve been unable to resolve your 
complaint within 8 weeks.
It will let you know why we aren’t 
in a position to give you our final 
response and when we expect to be 
able to provide this. We’ll also let you 
know about your right to contact the 
Financial Ombudsman Service.
Final Response
If we’ve been unable to resolve your 
complaint within 3 working days, we’ll 
send you our Final Response when 
we’ve completed our investigations. 
We’ll do our best to send this at the 
earliest opportunity.
This is a detailed response, which will 
outline:
> our investigation
> the decision
> any next steps.
It will also provide information about 
the Financial Ombudsman Service.
Independent review
If we don’t complete our investigations within 
8 weeks of receiving your complaint, or you’re 
unhappy with our response, you may ask the 
Financial Ombudsman Service (FOS) to look at 
your complaint. This is a free and independent 
service. If you decide to contact them, you 
should do so within 6 months of our response 
letter. Referring your case to the FOS will not 
affect your legal rights. 
You can contact them by:",Where should a letter be sent if you prefer to write to Customer Relations about a complaint?,Where should a letter be sent if you prefer to write to Customer Relations about a complaint and require a response within 7 days?,"If you prefer to write about a complaint, the letter should be sent to Customer Relations Manager, Churchill Court, Westmoreland Road, Bromley BR1 1DP.",1,41.0
"the territorial limits in the countries listed in the 
‘Countries where you have minimum cover’. 
You’ll need to pay extra to add this and get in 
touch before your trip starts. 
Essentials
Essential
You can add Foreign Use Extension to give you 
the same level of cover under ‘Liability to other 
people (third parties)’ in section 1 and sections 
2, 4 and 5 as you have within the territorial 
limits in the countries listed in the ‘Countries 
where you have minimum cover’. 
You’ll need to pay extra to add this and get in 
touch before your trip starts. 
Comprehensive
Comp
You can add Foreign Use Extension to give you 
the same level of cover under ‘Liability to other 
people (third parties)’ in section 1 (excluding 
any cover the main driver has when driving 
another car) and sections 2, 4 and 5 as you 
have within the territorial limits in the countries 
listed in the ‘Countries where you have 
minimum cover’. 
You’ll need to pay extra to add this and get in 
touch before your trip starts. 
Where you can drive
Page 32
Comprehensive Plus
Comp+
You’ll have the same level of cover under 
‘Liability to other people (third parties)’ in 
section 1 (excluding any cover the main driver 
has when driving another car) and sections 
2, 4 and 5 as you have within the territorial 
limits in the countries listed in the ‘Countries 
where you have minimum cover’ section for 
up to 90 days in every insured period. 
See your car insurance details for the actual 
number of days the policy includes.
Car insurance cover in the 
rest of Europe
The cover you have in the rest of Europe will 
also cover:
> Crossings between countries where your car
is being transported by a recognised carrier.
> Any customs duty you need to pay on your 
car because of repairs that are covered by 
the policy.
You’re not covered in the 
rest of Europe
8 If your cover includes Motor Legal Cover, this 
part of your cover doesn’t apply outside the 
territorial limits, apart from for road traffic 
accident claims. 
8 If anyone is driving a car other than your car.
8 If you have a courtesy car, it cannot be used 
outside the territorial limits.
8 If you have Guaranteed Hire Car Plus, and 
you have been provided with a hire car, this 
policy doesn’t give you cover to drive outside 
the territorial limits. Please check with the 
company that we instruct to give you the 
hire car to see if you are covered by their 
insurance.
Countries where you have 
minimum cover",Which car insurance policies include cover for stolen car keys?,What car insurance policies include cover for stolen car keys? I lost my car keys last week and I need to make sure I'm covered.,"Stolen car keys are covered under Essentials, Comprehensive, and Comprehensive Plus policies.",2,29.0
"If you haven’t followed any of the terms of this 
policy, and this prejudices our position, we have 
the right to: 
> Refuse or withdraw from the claim.
> Refuse to cover costs – even if we’ve already 
agreed to them.
> Ask you to reimburse costs that we’ve 
already paid.
Choosing who represents you
You can choose an appointed representative to 
look after your interests. This will include looking 
after your interests in any inquiry or other court
proceedings, or if there’s any conflict of interest. 
Your appointed representative can be:
> From a preferred law firm that we suggest.
> Your own choice of appointed representative
– however you can’t choose your own 
appointed representative if it’s a contract 
dispute until it’s necessary to take your claim 
to court, or if there’s a conflict of interest.
If you choose an appointed representative who 
isn’t from a preferred law firm, they must agree 
to our terms of appointment. We’ll only cover 
their costs from the date they agree to our terms 
of appointment.
You’ll have a separate contract with your 
appointed representative. If they charge any 
costs that we don’t agree, you’ll be responsible 
for paying these.
Checking whether your claim has a reasonable 
chance of succeeding
Before we go ahead, we must agree with your 
appointed representative that your claim has 
a reasonable chance of succeeding. We will 
only provide this cover as long as we and your 
appointed representative agree your claim 
has a reasonable chance of succeeding for the 
duration of the claim. This can change during 
your claim. 
Sometimes the costs of a legal action may 
be too much in relation to the value of your 
claim, this relates to a legal test that is referred 
to as ‘proportionality’. In these cases, we may 
not provide further cover for your claim. When 
looking at how much your claim will cost to 
take legal action versus the potential benefit to 
be gained in pursuing your claim, we consider 
things like: 
> The difficulty of the case. Cases which are 
more difficult usually have greater legal costs
attached to them.
> The potential total value of the case. This 
includes the amount of damages you may 
be able to recover from the other party.
> The non-financial value of the case. 
Sometimes your claim will have a benefit 
to you which is difficult to value in financial 
terms but is still worth pursuing. For these 
claims your appointed representative will 
take the benefit to you into account when",What actions can the insurance company take if you haven't followed the terms of the policy?,"Helo, I recently had a situation where I didn't folow the terms of my policy, what actions can the insurance company take?","If you haven’t followed any of the terms of this policy, the insurance company has the right to refuse or withdraw from the claim, refuse to cover costs even if agreed to, and ask you to reimburse costs already paid.",2,23.0
"Am I covered if I leave my car unlocked or the 
keys in the car?
We won’t pay a claim for theft or attempted theft
if your car is left:
> Unlocked.
> With keys or key fobs in, on, or attached to 
the car.
> With the engine running.
> With a window or roof open.
What’s not included in my cover?
We don’t cover things like:
> Mechanical or electrical failure.
> Wear and tear.
> Damage to tyres caused by braking, 
punctures, cuts or bursts.
> Breakdowns (if your policy includes 
Green Flag breakdown, this may cover 
getting your car going again).
We won’t provide cover if your car is being used:
> By someone who’s not insured on the policy.
> By someone who’s disqualified from driving.
> For a purpose that’s not allowed on the policy
(as shown on your certificate of motor insurance).
You can find full details of what’s not covered by 
the policy in each cover section, and in ‘Losses 
we don’t cover’ on page 33.
Does Churchill have approved repairers? 
Churchill customers have access to a national 
network of approved repairers. If your car is 
repaired by one of these, they’ll deal with all 
aspects of your repair. 
What is DriveSure?
DriveSure is our telematics insurance product. 
It’s designed to capture how, when and where 
your car is driven, based on driver-monitoring 
technology. We use it to understand your 
driving style and give you feedback. This 
means we can base your premium on your
driving record. 
What’s the difference between commuting 
and business use?
Business use provides cover for driving in 
connection with a business or employment. 
Your certificate of motor insurance will show if 
your policy includes business use and the type 
of business use you have.
Commuting is driving to and from a permanent 
place of work, for either part of the journey, or for 
the whole journey. This includes driving to and 
from a car park, railway station or bus stop as 
part of your journey to and from a permanent 
place of work.
Can I use my car abroad?
If you want to use your car abroad, your cover 
depends on the type of policy you have and 
where you’re driving. You can find full details 
in ‘Where you can drive’ on page 31.
You may need a Green Card if you’re travelling 
abroad. If you need one, please get in touch 
before you travel. We also recommend you take 
a European Accident Statement with you. You can
get one at churchill.com/eas-form.pdf
Are my electric car’s charging cables covered?
Your home charger and charging cables are",What is DriveSure and how is it used?,Can you please explain how DriveSure works for Churchill's Comprehensive Plus policy?,"DriveSure is a telematics insurance product designed to capture how, when, and where your car is driven based on driver-monitoring technology. It is used to understand your driving style and provide feedback so that your premium can be based on your driving record.",2,1.0
"also require an insured person to repay us 
any amounts that we are required by law 
to pay.
Cyber
	
✘We don’t cover any loss, damage, legal 
liability, cost or expense caused by:​
•	 Failure, or partial failure of any computer  
or computer system​
.
•	 Loss or partial loss of any electronic data.​
•	 Repair, replacement or restoration of any 
electronic data​
.
•	 A cyber event.
Losses we don’t cover
Other conditions you need to know about
Following the policy terms
We’ll only provide the cover set out in this policy
if you keep to all the terms of the policy.
This includes Guaranteed Hire Car Plus or Motor 
Legal Cover if you have these covers.
Providing accurate information
You must ensure that all information given 
to us is correct and complete to the best of 
your knowledge at all times. This includes 
information about all drivers under the policy
or modifications to your car.
If you don’t provide correct and complete 
information or inform us of any changes, 
this could invalidate your policy, increase 
your premium or mean we don’t pay claims 
in full or at all. 
Taking care of your car
You and any person who is covered by this 
policy must do all of the following:
> Make sure your car is roadworthy.
> Take all reasonable steps to protect your car
and its contents from loss or damage.
> Make sure any property left in an open or 
convertible car is in a locked boot or locked 
glove compartment.
> Allow us to examine your car at any 
reasonable time if we ask you.
Modifications to your car
Modifications are changes to your car’s 
standard specification, including optional 
extras.
If you wish to modify your car, you must tell us 
what modifications you want to make, and we 
must agree to them beforehand. 
Modifications include changes to the 
appearance or the performance of your car, 
including wheels, suspension, bodywork, engine 
and any additional software features (excluding 
those provided free as software updates by the 
manufacturer). This is not a complete list. 
If you don’t provide correct and complete 
information or inform us of any changes, this 
could invalidate your policy or mean we don’t 
pay claims in full or at all.
Fraud
You must be honest in your dealings with us at 
all times.
We won’t pay a claim that is in any way 
fraudulent, false or exaggerated. 
If you, any person insured under this policy, 
or anyone acting on your behalf attempts to 
deceive us, or knowingly makes a fraudulent, 
false or exaggerated claim, we may:",What is not covered under the Cyber section of the policy?,What exclusions are not covered under the Cyber section of the policy?,"The Cyber section of the policy does not cover loss, damage, legal liability, cost, or expense caused by failures of computer systems, loss of electronic data, repair or restoration of electronic data, or a cyber event.",0,33.0
"minimum cover
If you do not have Foreign Use Extension, or if it 
has been used up, your car insurance only gives 
you the minimum car insurance required by law 
for the countries listed below:
> Any country which is a member of the 
European Union.
> Any country listed below that the 
Commission of the European Community 
approves as meeting the requirements of 
Article 8 of EC Directive 2009/103/EC on 
Insurance of Civil Liabilities arising from 
using cars. 
Countries included
Andorra, Austria, Belgium, Bosnia and 
Herzegovina, Bulgaria, Croatia, Cyprus, 
Czech Republic, Denmark, Estonia, Finland, 
France, Germany, Gibraltar, Greece, Hungary, 
Iceland, Italy, Latvia, Liechtenstein, Lithuania, 
Luxembourg, Malta, Montenegro, Netherlands, 
Norway, Poland, Portugal, Romania, Serbia, 
Slovakia, Slovenia, Spain, Sweden, and 
Switzerland.
If your cover includes 
Green Flag breakdown 
> If your breakdown cover includes 
European Breakdown, the countries 
covered are different to the countries 
your car insurance covers. See the 
Green Flag policy booklet for details.
Where you can drive continued
Page 33
Losses we don’t cover
Use of your car
	
✘We don’t cover any loss, damage, liability or 
injury that happens while your car is being:
•	 Driven by anyone who isn’t named, or  
who is listed as excluded, as a driver on 
your certificate of motor insurance or  
car insurance details.
•	 Used for a purpose that isn’t shown as 
allowed on your certificate of motor 
insurance or car insurance details.
•	 Driven by someone who:
	
– Doesn’t have a valid driving licence.
	
– 	
Is disqualified from holding or obtaining 
a driving licence.
	
– Is breaking the conditions of their driving 
licence.
•	 	
Driven while rented out or driven in 
connection with a peer-to-peer hire 
scheme. 
	
This exception doesn’t apply to any loss or 
damage to your car if it:
•	 Is being repaired by a mechanic at the 
roadside.
•	 Is with a member of the motor trade for 
maintenance or repair.
•	 Has been stolen and you’ve reported this 
theft to the police and can provide us with 
the crime reference number.
•	 Is being parked by an employee of a hotel, 
restaurant or car parking service.
Unauthorised taking
	
✘We won’t cover any loss or damage if your 
car is driven without your permission by 
either of the following, unless you’ve reported 
this to the police and have a crime reference 
number:
•	 A family member.
•	 Someone living with you.
Loss of value",What is not covered by the insurance in terms of the use of your car?,What is specifically excluded from the insurance coverage in relation to the utilization of your vehicle?,"The insurance does not cover any loss, damage, liability, or injury that happens while your car is being driven by anyone who isn't named or listed as excluded, used for a purpose not allowed on your certificate of motor insurance, driven by someone without a valid driving licence, disqualified from holding a driving licence, breaking the conditions of their driving licence, rented out, or driven in connection with a peer-to-peer hire scheme.",1,30.0
"Does this cover apply to my car?
The cover in this sub-section will only apply 
to your car if it has been identified on the 
Secretary of State’s list of motor vehicles 
that may safely drive themselves. 
If your car isn’t identified on the list, the cover 
in this section won’t apply to your policy.
You can find out more at 
churchill.com/help-and-support
Words with a specific meaning 
When we use these words or terms in this 
sub-section they have these specific 
meanings (unless we say differently).
Insured person The policyholder and anyone 
else insured by this policy to drive your 
automated car with your permission. 
Where am I covered? 
We’ll only provide the cover in this sub-section 
in Great Britain, which is:
> England.
> Scotland.
> Wales.
This is because this sub-section has been 
written to comply with the laws of Great Britain.
If your automated car is involved in an accident 
when it is lawfully driving itself outside Great 
Britain (including when it is lawfully driving itself 
in Northern Ireland, the Channel Islands or the 
Isle of Man), the rest of your policy will apply.
What we’ll do
We’ll provide cover: 
If your car causes an accident 
We’ll provide cover for an accident caused by 
your automated car when it is lawfully driving 
itself on a road or other public place in Great 
Britain and:
> injures or kills any person (including the 
person in charge of your automated car), 
and/or
> damages property.
As long as you look after your car’s software 
You must keep the software of your automated 
car up to date and you must not modify it other 
than in accordance with any manufacturer’s 
instruction. 
Page 14
You’re not covered under this 
sub-section for
8 We won’t cover any loss, damage or injury:
•
That takes place outside of Great Britain. 
•
Caused by your automated car driving 
itself at any time or place that the use of 
automated functions is unlawful. 
•
To the extent that an accident was caused 
or contributed to by any party suffering 
loss, damage or injury. 
•
To an insured person if the accident is 
caused by a failure to install safety critical 
updates to your automated car or its 
software has been altered without the 
approval of the manufacturer. We may 
also require an insured person to repay us 
any amounts that we are required by law 
to pay. 
•
To the person in charge of your automated 
car where the accident was wholly due to 
that person’s negligence in allowing your",Where does the cover in the sub-section apply?,Where does the cover in the specified sub-section apply?,"The cover in the sub-section only applies in Great Britain, which includes England, Scotland, and Wales.",0,11.0
"If you haven’t followed any of the terms of this 
policy, and this prejudices our position, we have 
the right to: 
> Refuse or withdraw from the claim.
> Refuse to cover costs – even if we’ve already 
agreed to them.
> Ask you to reimburse costs that we’ve 
already paid.
Choosing who represents you
You can choose an appointed representative to 
look after your interests. This will include looking 
after your interests in any inquiry or other court
proceedings, or if there’s any conflict of interest. 
Your appointed representative can be:
> From a preferred law firm that we suggest.
> Your own choice of appointed representative
– however you can’t choose your own 
appointed representative if it’s a contract 
dispute until it’s necessary to take your claim 
to court, or if there’s a conflict of interest.
If you choose an appointed representative who 
isn’t from a preferred law firm, they must agree 
to our terms of appointment. We’ll only cover 
their costs from the date they agree to our terms 
of appointment.
You’ll have a separate contract with your 
appointed representative. If they charge any 
costs that we don’t agree, you’ll be responsible 
for paying these.
Checking whether your claim has a reasonable 
chance of succeeding
Before we go ahead, we must agree with your 
appointed representative that your claim has 
a reasonable chance of succeeding. We will 
only provide this cover as long as we and your 
appointed representative agree your claim 
has a reasonable chance of succeeding for the 
duration of the claim. This can change during 
your claim. 
Sometimes the costs of a legal action may 
be too much in relation to the value of your 
claim, this relates to a legal test that is referred 
to as ‘proportionality’. In these cases, we may 
not provide further cover for your claim. When 
looking at how much your claim will cost to 
take legal action versus the potential benefit to 
be gained in pursuing your claim, we consider 
things like: 
> The difficulty of the case. Cases which are 
more difficult usually have greater legal costs
attached to them.
> The potential total value of the case. This 
includes the amount of damages you may 
be able to recover from the other party.
> The non-financial value of the case. 
Sometimes your claim will have a benefit 
to you which is difficult to value in financial 
terms but is still worth pursuing. For these 
claims your appointed representative will 
take the benefit to you into account when",What can the insurance company do if you haven't followed the terms of the policy?,"What are the potential actions that the insurance company may take if you have not abided by the conditions of the policy, especially in the case of Comprehensive Plus coverage?","If you haven’t followed any of the terms of this policy, the insurance company has the right to refuse or withdraw from the claim, refuse to cover costs, and ask you to reimburse costs that have already been paid.",1,23.0
"to a Mini MPV may be provided.
We’ll always try to provide you with a hire car
that’s a similar size to your car, but sometimes 
one may not be available. We cannot 
guarantee that your hire car will be the same as 
your car in terms of its size, type, value or status.
When am I covered? 
If we’re dealing with your claim under sections 
2 or 4 of your policy, we’ll arrange for a hire car 
company to provide you with a hire car when 
both of the following apply:
> Your car is damaged because of an 
accident, fire or theft, or if it’s stolen and not 
recovered. 
> The loss or damage happens within the 
territorial limits.
For details of your cover in the Republic of 
Ireland, see ‘Where you can drive’ on page 31. 
How much am I covered for? 
If your car can be repaired, and is driveable
We’ll provide you with a hire car from the point 
your car goes in for repair: 
> If you use our approved repairer, until they’ve 
repaired your car. 
> If you use your own repairer, for up to 21 days 
in a row while they’re repairing your car. 
If your car can be repaired, and is not driveable
As soon as you’ve confirmed that we can start 
the repair, we’ll provide you with a hire car: 
> If you use our approved repairer, until they 
have repaired your car. 
> If you use your own repairer, for up to 21 days 
in a row while they’re repairing your car. 
If your car is written off, or is stolen and 
not recovered
We’ll provide you with a hire car for whichever is 
shortest of these two periods: 
> Up to 21 days in a row.
> Up to 5 days after our first (or only) payment 
has been issued to settle your claim.
Section 8: Guaranteed Hire Car Plus
Page 29
Section 8: Guaranteed Hire Car Plus
If we cannot provide you with a hire car
If we cannot provide you with a hire car
because any of the following applies, we’ll 
repay your travel costs up to £50 per day, 
up to a total of £500 per claim if:
> You’re injured during the accident in a way 
that prevents you from driving.
> Your car has been professionally adapted 
to carry a disabled driver or passenger, 
and a suitable hire car is not available.
> There are no hire cars available, and no 
alternative cars are available for hire.
You can use this benefit any time in the 21 days 
following your claim. You’ll need to pay the 
costs up front, and then send us your receipts or 
proof of travel. We can only pay you back once 
we receive these. 
If you’re outside the territorial limits
If we’re dealing with your claim under sections",Under which policies is key theft covered?,Which policies cover key theft?,"Key theft is covered under Essentials, Comprehensive, and Comprehensive Plus policies.",0,26.0
"calculating the total value of your claim.
> If it would be reasonable to spend more in 
pursuing a claim than the benefit you would 
get in doing so.
Your appointed representative will assess the 
potential value to be gained in pursuing your 
case and the cost to take legal action.
If there are conflicting opinions about whether 
your claim is likely to succeed, we’ll ask you 
to get an expert opinion from a barrister. We’ll 
agree which barrister with you.
If the barrister agrees with you, you won’t need 
to pay for their advice. If they don’t agree with 
you, you’ll have to pay the costs for their advice.
Section 7: Motor Legal Cover continued
Settling or ending your claim
Offers to settle your claim
You must tell us if anyone:
> Offers to settle your claim.
> Makes a payment into court.
If you refuse to accept an offer or payment 
that we or your appointed representative
think you should accept, we can refuse to 
cover any further costs.
Approval to settle or end your claim
Unless we agree, you must not:
> Stop, settle, negotiate or withdraw your claim.
> Dismiss your appointed representative.
We won’t withhold our agreement to take these 
actions without good reason.
When we might choose to settle your claim
We can settle your claim outside of court if we 
think it makes financial sense to do this. We’ll do 
this by covering you for:
> The amount you’re likely to be awarded by a 
court.
> The equivalent financial value, if your claim 
is not for damages.
Checking costs
We have the right to have costs:
> Certified by an appropriate professional body.
> Checked by an auditor (for example a Costs 
Lawyer) that we choose.
> Assessed by a court.
Recovering costs
If your costs can be recovered from somewhere 
else, you must tell your appointed representative
to do this. If we’ve paid costs that you then 
recover, you must pay the money back to us.
We’ll share recovered costs with you if:
> We refused to cover further costs and you 
paid more costs to end your claim.
> You paid the difference between the costs we 
offered your appointed representative and 
the costs they charged.
We’ll split any recovered costs to reflect who 
paid costs originally. For example, if you paid 
60% of the original costs, you’ll receive 60% 
of the recovered costs.
Section 7: Motor Legal Cover
Co-operating with us and your appointed 
representative 
We can contact your appointed representative
at any time, and they must co-operate with us.
You must:",What actions can lead to refusal of further cost coverage?,What behaviors can result in denial of additional cost coverage?,Refusing to accept an offer or payment that the insurer or appointed representative thinks should be accepted can lead to a refusal of further cost coverage.,0,24.0
